Frame #,X for the first Point of interest (biggest rhino),Y for the first Point of interest,X for the second Point of interest (rhino near big rhino),Y for the second Point of interest,
1,1060,980,950,1040,
31,1100,990,960,1030,
61,1120,980,960,1040,
91,1090,990,960,1030,
121,1100,980,970,1030,
151,1120,980,960,1030,
181,1100,980,960,1030,
221,1100,1000,950,1030,
241,1130,1010,930,1030,
271,1130,1000,920,1020,
301,1130,1010,910,1030,
331,1080,1000,910,1030,
361,1080,990,910,1030,
391,1080,980,900,1020,
421,1090,980,900,1030,
451,1090,990,890,1030,
481,1090,980,890,1030,
511,1070,990,890,1030,
541,1060,990,890,1030,
571,1060,990,890,1030,
601,1060,980,890,1030,
631,1060,980,910,1030,
661,1080,980,920,1040,
691,1070,980,950,1020,
721,1070,990,960,1010,
751,1070,980,980,1010,
781,1060,980,980,1030,
811,1050,990,970,1030,
841,1060,980,970,1020,
871,1080,980,960,1020,
901,1070,990,960,1030,
931,1080,980,960,1030,
961,1070,990,980,1030,
991,1060,980,970,1020,
1021,1050,1000,970,1020,
1051,1040,990,970,1030,
1081,1050,990,980,1030,
1111,1060,990,980,1030,
1141,1090,1000,990,1030,
1171,1080,980,1000,1040,
1201,1120,1000,1000,1040,
1231,1080,990,1000,1030,
1261,1090,1000,1000,1030,
1291,1090,1000,1000,1030,
1321,1100,1000,1000,1030,
1351,1120,1000,1000,1030,
1381,1140,1000,1010,1030,
1411,1140,1010,1010,1030,
1441,1120,1000,1000,1030,
1471,1110,1020,1020,1030,
1501,1140,990,1040,1030,
1531,1100,1000,1040,1030,
1561,1120,1000,1050,1030,
1591,1120,990,1060,1030,
1621,1100,1010,1060,1050,
1651,1120,1000,1070,1040,
1681,1130,1010,1090,1040,
1711,1130,990,1100,1040,
1741,1140,1000,1020,1050,
1771,1140,990,1030,1050,
1801,1180,990,1070,1050,
