What is your study ID? (Ask the experimenter),What is your gender?,What is your age?,"Have you ever experienced a mobile VR system, like the ones pictured?","If yes, how many occasions have you experienced mobile VR?","Have you ever experienced a room-scale VR system, like the ones pictured?","If yes, how many occasions have you experienced room-scale VR?","Have you ever watched a 360-degree video, like the ones pictured?","If yes, how many 360-degree videos have you watched?",,,
U9LXBX,Male,19,"Yes, I have experienced mobile VR before.",3 occasions,"No, I have not experienced room-scale VR.",6-10 occasions,"No, I have not watched a 360-degree video.",,,,
0Z4VWJ,Female,19,"Yes, I have experienced mobile VR before.",1 occasion,"Yes, I have experienced room-scale VR before.",1 occasion,"Yes, I have watched a 360-degree video before.",5 videos,,,
805G37,Male,23,"Yes, I have experienced mobile VR before.",4 occasions,"Yes, I have experienced room-scale VR before.",2 occasions,"No, I have not watched a 360-degree video.",,,,
5L115E,Male,24,"No, I have not experienced mobile VR",,"Yes, I have experienced room-scale VR before.",3 occasions,"Yes, I have watched a 360-degree video before.",2 videos,,,
FW6GWL,Male,19,"No, I have not experienced mobile VR",,"No, I have not experienced room-scale VR.",,"Yes, I have watched a 360-degree video before.",1 video,,,
322SAJ,Male,22,"Yes, I have experienced mobile VR before.",11-20 occasions,"Yes, I have experienced room-scale VR before.",1 occasion,"Yes, I have watched a 360-degree video before.",5 videos,,,
BN6V1W,Male,29,"Yes, I have experienced mobile VR before.",11-20 occasions,"Yes, I have experienced room-scale VR before.",1 occasion,"Yes, I have watched a 360-degree video before.",6-10 videos,,,
BGQZ3M,Male,18,"No, I have not experienced mobile VR",,"No, I have not experienced room-scale VR.",,"No, I have not watched a 360-degree video.",,,,
2PG1QX,Female,28,"Yes, I have experienced mobile VR before.",50+ occasions,"No, I have not experienced room-scale VR.",,"Yes, I have watched a 360-degree video before.",50+ videos,,,
4YG7YB,Male,24,"Yes, I have experienced mobile VR before.",3 occasions,"Yes, I have experienced room-scale VR before.",1 occasion,"No, I have not watched a 360-degree video.",,,,
MITA71,Male,33,"Yes, I have experienced mobile VR before.",11-20 occasions,"No, I have not experienced room-scale VR.",,"Yes, I have watched a 360-degree video before.",5 videos,,,
HURQCM,Male,20,"Yes, I have experienced mobile VR before.",2 occasions,"Yes, I have experienced room-scale VR before.",2 occasions,"Yes, I have watched a 360-degree video before.",11-20 videos,,,
JAKTKV,Male,26,"Yes, I have experienced mobile VR before.",1 occasion,"No, I have not experienced room-scale VR.",,"No, I have not watched a 360-degree video.",,,,
APUOOC,Male,21,"Yes, I have experienced mobile VR before.",2 occasions,"No, I have not experienced room-scale VR.",,"Yes, I have watched a 360-degree video before.",5 videos,,,
6Q9DTK,Male,19,"No, I have not experienced mobile VR",,"No, I have not experienced room-scale VR.",,"Yes, I have watched a 360-degree video before.",5 videos,,,
2Z5V9L,Male,29,"Yes, I have experienced mobile VR before.",20-50 occasions,"No, I have not experienced room-scale VR.",,"Yes, I have watched a 360-degree video before.",20-50 videos,,,
YHSYQO,Male,30,"Yes, I have experienced mobile VR before.",50+ occasions,"No, I have not experienced room-scale VR.",,"Yes, I have watched a 360-degree video before.",6-10 videos,,,
CSHZWW,Male,20,"Yes, I have experienced mobile VR before.",5 occasions,"Yes, I have experienced room-scale VR before.",6-10 occasions,"Yes, I have watched a 360-degree video before.",5 videos,,,
NCLRBI,Female,28,"No, I have not experienced mobile VR",1 occasion,"Yes, I have experienced room-scale VR before.",1 occasion,"No, I have not watched a 360-degree video.",,,,
XJAXSU,Male,46,"Yes, I have experienced mobile VR before.",5 occasions,"No, I have not experienced room-scale VR.",,"Yes, I have watched a 360-degree video before.",6-10 videos,,,
FPE9VT,Male,26,"Yes, I have experienced mobile VR before.",5 occasions,"No, I have not experienced room-scale VR.",,"Yes, I have watched a 360-degree video before.",2 videos,,,
G9W4CJ,Male,18,"Yes, I have experienced mobile VR before.",1 occasion,"No, I have not experienced room-scale VR.",,"Yes, I have watched a 360-degree video before.",2 videos,,,
NFBNUI,Male,18,"No, I have not experienced mobile VR",,"No, I have not experienced room-scale VR.",,"No, I have not watched a 360-degree video.",,,,
E9C5GX,Male,28,"Yes, I have experienced mobile VR before.",2 occasions,"Yes, I have experienced room-scale VR before.",1 occasion,"Yes, I have watched a 360-degree video before.",1 video,,,
MFV8IE,Female,47,"Yes, I have experienced mobile VR before.",6-10 occasions,"No, I have not experienced room-scale VR.",,"Yes, I have watched a 360-degree video before.",20-50 videos,,,
Z8AOYI,Male,27,"Yes, I have experienced mobile VR before.",5 occasions,"Yes, I have experienced room-scale VR before.",6-10 occasions,"Yes, I have watched a 360-degree video before.",2 videos,,,
6YDO10,Female,24,"Yes, I have experienced mobile VR before.",1 occasion,"Yes, I have experienced room-scale VR before.",1 occasion,"No, I have not watched a 360-degree video.",,,,
0EUCC2,Female,33,"No, I have not experienced mobile VR",,"No, I have not experienced room-scale VR.",,"No, I have not watched a 360-degree video.",,,,
WDRIB9,Male,26,"Yes, I have experienced mobile VR before.",2 occasions,"No, I have not experienced room-scale VR.",,"Yes, I have watched a 360-degree video before.",1 video,,,
YHN1WZ,Male,22,"No, I have not experienced mobile VR",,"No, I have not experienced room-scale VR.",,"No, I have not watched a 360-degree video.",,,,
T5817Q,Male,19,"Yes, I have experienced mobile VR before.",6-10 occasions,"Yes, I have experienced room-scale VR before.",6-10 occasions,"Yes, I have watched a 360-degree video before.",2 videos,,,
T9DQFK,Female,22,"Yes, I have experienced mobile VR before.",6-10 occasions,"Yes, I have experienced room-scale VR before.",2 occasions,"Yes, I have watched a 360-degree video before.",3 videos,,,
KXN38J,Male,25,"Yes, I have experienced mobile VR before.",1 occasion,"No, I have not experienced room-scale VR.",,"Yes, I have watched a 360-degree video before.",1 video,,,
JSIAAJ,Female,25,"Yes, I have experienced mobile VR before.",2 occasions,"No, I have not experienced room-scale VR.",,"Yes, I have watched a 360-degree video before.",2 videos,,,
K217UN,Female,26,"No, I have not experienced mobile VR",,"No, I have not experienced room-scale VR.",,"No, I have not watched a 360-degree video.",,,,
AQ013T,Male,29,"No, I have not experienced mobile VR",,"Yes, I have experienced room-scale VR before.",1 occasion,"No, I have not watched a 360-degree video.",,,,
